Entry,Exit,Type,EntryPrice,ExitPrice,PnL
2025-11-25 00:00:00,2025-11-27 00:00:00,LONG,160.83,162.48,10259.27998507727
2025-12-02 00:00:00,2025-12-02 00:00:00,SHORT(MIS),159.0,157.87,7106.918238993682
2025-12-03 00:00:00,2025-12-03 00:00:00,SHORT(MIS),157.24,155.16,13322.19785001984
2025-12-04 00:00:00,2025-12-04 00:00:00,SHORT(MIS),155.2,154.15,6903.676365292828
2025-12-05 00:00:00,2025-12-05 00:00:00,SHORT(MIS),154.16,151.58,17193.296604385665
2025-12-08 00:00:00,2025-12-08 00:00:00,SHORT(MIS),151.56,146.85,32460.529687691
2025-12-09 00:00:00,2025-12-09 00:00:00,SHORT(MIS),146.3,151.65,-39383.99460214042
2025-12-10 00:00:00,2025-12-11 00:00:00,LONG,149.66,157.76,54677.93777815796
2025-12-18 00:00:00,2025-12-18 00:00:00,SHORT(MIS),150.98,150.01,6666.277291163824
2025-12-19 00:00:00,2025-12-19 00:00:00,SHORT(MIS),150.01,152.95,-20466.30604773077
2025-12-19 00:00:00,2025-12-23 00:00:00,LONG,152.95,169.3,113839.31683837148
2025-12-23 00:00:00,2025-12-26 00:00:00,LONG,169.3,178.71,65518.53036385774
2025-12-26 00:00:00,2025-12-29 00:00:00,LONG,178.71,172.77,-41358.137126600945
2025-12-31 00:00:00,2026-01-01 09:15:00,LONG,177.65,177.85,1354.2774307219759
